epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.701,2.12412,4.87331,3.41063,0.44439,0.24617,0.22226,0.10831,1.64035,2.70403,2.48916,0.000114938,0.000114938,0.000114938
2,1201.03,1.41198,2.62565,2.20486,0.77649,0.72627,0.8199,0.49855,1.33154,1.39724,1.88934,0.000207174,0.000207174,0.000207174
3,1779.19,1.11443,1.49955,1.76735,0.89357,0.89408,0.952,0.66923,1.07219,0.93425,1.55076,0.00027664,0.00027664,0.00027664
4,2360.94,0.96164,1.02641,1.55975,0.96204,0.95481,0.98454,0.69294,1.06805,0.72388,1.50519,0.000242535,0.000242535,0.000242535
5,2947.42,0.87911,0.78725,1.45062,0.98858,0.98209,0.99198,0.70726,1.06349,0.57081,1.45044,0.00020838,0.00020838,0.00020838
6,3526.38,0.82579,0.65427,1.38526,0.99006,0.98573,0.99268,0.74753,0.9622,0.51221,1.36358,0.000174225,0.000174225,0.000174225
7,4104.25,0.78694,0.58017,1.34088,0.99505,0.98684,0.99395,0.76371,0.91144,0.46214,1.29825,0.00014007,0.00014007,0.00014007
8,4682.47,0.75608,0.51936,1.30811,0.99329,0.98981,0.99421,0.77034,0.90306,0.44155,1.29383,0.000105915,0.000105915,0.000105915
9,5258.22,0.72869,0.47787,1.28373,0.99567,0.98906,0.99453,0.78374,0.86908,0.42339,1.25919,7.176e-05,7.176e-05,7.176e-05
10,5833.95,0.7063,0.44797,1.25931,0.99521,0.99267,0.99445,0.78653,0.85567,0.40952,1.24306,3.7605e-05,3.7605e-05,3.7605e-05
